title,url,publish_time,publisher_name,scraper,db_id,body_text
Группа компаний ФСК снова разместит ЦФА на платформе А-Токен,https://www.domex.ru/news/gruppa-kompaniy-fsk-snova-razmestit-tsfa-na-platforme-a-token/,2024-08-24 21:55:21.169795,Domex.ru,google,,"Группа компаний 

 

 Это уже второй выпуск цифровых финансовых активов девелопера для корпоративных и частных инвесторов. Первый выпуск общим объемом 1 млрд рублей состоялся в марте этого года и был выкуплен до завершения периода размещения с переподпиской. 

 

 Доходность по новому выпуску составит 20% годовых, номинальная стоимость одного цифрового актива – 1 000 рублей, срок обращения – 6 месяцев, период размещения с 22 по 29 августа. 

 

 Эмитентом выступит ООО «ФСКЗ А» под поручительство ООО «ГК ФСК». Общий объем выпуска составит также 1 млрд рублей.

 

 Группа компаний разместит цифровые финансовые активы (ЦФА) на платформе ""Альфа-Банка"" А-Токен, сообщает пресс-служба девелопера.Это уже второй выпуск цифровых финансовых активов девелопера для корпоративных и частных инвесторов. Первый выпуск общим объемом 1 млрд рублей состоялся в марте этого года и был выкуплен до завершения периода размещения с переподпиской.Доходность по новому выпуску составит 20% годовых, номинальная стоимость одного цифрового актива – 1 000 рублей, срок обращения – 6 месяцев, период размещения с 22 по 29 августа.Эмитентом выступит ООО «ФСКЗ А» под поручительство ООО «ГК ФСК». Общий объем выпуска составит также 1 млрд рублей."
Первые криптобиржи в РФ «заточат» на стейблкойны,https://logirus.ru/news/custom_and_ved/pervye_kriptobirzhi_v_rf_-zatochat-_na_steyblkoyny.html,2024-08-24 21:55:20.325129,LOGIRUS,google,,"В России планируется создать как минимум две криптобиржи, пишет «Коммерсантъ» со ссылкой на источники, знакомые с ситуацией.Эти криптобиржи будут направлены на поддержку внешнеэкономической деятельности, пишет газета. По словам источников, для одной из криптобирж планируется использовать базу Санкт-Петербургской валютной биржи. Вторую площадку хотят организовать в Москве: пока не решено, будет ли она сделана на базе Мосбиржи или отдельно в рамках экспериментального правового режима, отмечает один из собеседников.Основные идеи по криптобиржам в России пока связаны с созданием стейблкойнов, утверждает источник «Коммерсанта». По его словам, планируется создать стейблкойны на юань и на корзину валют БРИКС. Стейблкойны – это фактически цифровые финансовые активы в терминах российского законодательства в силу наличия эмиссионного центра и обязанного лица, отметил замгендиректора BitRiver по коммуникациям Олег Огиенко.Четкий и унифицированный правовой механизм для создания и функционирования криптобирж в России пока отсутствует, считает руководитель направления «Разрешение It&Ip-споров» юридической фирмы «Рустам Курмаев и партнеры» Ярослав Шицле. Он пояснил, что криптовалюты регулируются главным образом законом «О цифровых финансовых активах»: он устанавливает правовые основы для выпуска и обращения ЦФА, но не содержит прямых норм, регулирующих деятельность криптобирж.Пока единственное применимое к потенциальным криптобиржам в России регулирование – это экспериментальный правовой режим, указывает член экспертного совета Госдумы по законодательному регулированию криптовалют Михаил Успенский. По его мнению, сначала в тестовом режиме площадкой будет пользоваться узкий круг лиц, затем – крупнейшие экспортеры и импортеры: «дочки», «внучки» «голубых фишек» и бизнесов из их периметра. Маловероятно, что малый, средний бизнес и физлица получат к криптобиржам беспрепятственный доступ в первую волну их запуска. Основатель TerraCrypto Никита Вассев уверен, что пользоваться подобными криптобиржами будут только те, у кого нет выбора, в остальном они предпочтут «удобные торговые платформы, которые годами совершенствуют лучшие разработчики».В проекте российских криптобирж есть существенные риски, предупреждают эксперты. По словам Успенского, блокчейн – относительно прозрачная сущность, и если информация о том, что криптовалюта куплена на российской бирже, просочится в открытый доступ, то информация о трансакциях может поступить в санкционные списки. «При помощи специальных технических средств это можно будет легко отследить и пометить абсолютно все трансакции как подозрительные, существенно попортив жизнь не только участникам сделок, но и будущим обладателям цифровой валюты, причем совершенно непричастных к России», – заключил эксперт.Минфин и Банк России обсуждают легализацию криптобирж в России, но пока не пришли к единому мнению, сообщал министр финансов Антон Силуанов. По его словам, у чиновников есть две точки зрения: либо законодательно разрешить криптобиржи, либо запретить их, в лучшем случае – организовать в рамках экспериментально-правового режима. Силуанов отмечал, что законопроект по криптобиржам в России может быть готов осенью. Напомним , Минфин и Банк России обсуждают легализацию криптобирж в России, но пока не пришли к единому мнению, отметил в августе 2024 года министр финансов Антон Силуанов."
Для торгов цифровыми финактивами создадут «спецгетто»,https://logirus.ru/news/custom_and_ved/dlya_torgov_tsifrovymi_finaktivami_sozdadut_-spetsgetto.html,2024-08-26 21:55:18.770584,LOGIRUS,google,,"Доступ к торгам цифровыми финансовыми активами (ЦФА) сможет получить только ограниченное число высококвалифицированных инвесторов и только на специализированных площадках. Об этом в разговоре с «Известиями» сообщил статс-секретарь – заместитель председателя Банка России Алексей Гузнов.– В предыдущей сессии были внесены изменения в законодательство о ЦФА, разрешившиеся использовать их для международных расчетов. Однако возникла необходимость доработать проект в части системного дизайна – использование ЦФА, созданных в зарубежной системе, взаимодействие иностранной и российской инфраструктур для таких сделок и защита этого процесса от потенциальных угроз. Эти аспекты были урегулированы в другом законе, принятом в конце сессии, который также охватывает вопросы, связанные с майнингом. По линии регулирования цифровых активов может быть и применение стейблкоинов для международных расчетов, поскольку некоторые из них подлежат классификации как ЦФА, – отметил Гузнов.Заместитель председателя подчеркнул, что стейблкоины, связанные с обязанными лицами и схожие с ЦФА, могут использоваться для международных расчетов уже сейчас. Однако если у стейблкоина нет обязанности, он больше напоминает цифровые валюты, что потребует введения экспериментального режима для трансакций.В настоящее время необходим запуск эксперимента по применению цифровых валют в международной торговле, прежде чем продвигаться к более общим подходам к регуляции криптовалют. Важно выявить и подготовиться к рискам, которые могут возникнуть в этом процессе, уверен Гузнов. Напомним , что в России прорабатывают закон о майнинге. В текущей редакции, предполагается, что использовать во внешней торговле можно будет только криптовалюту, намайненную в России, а не приобретенную за границей, операции с криптовалютой будут проводиться вне рамок российского финансового контура, в иностранных юрисдикциях."
"Все платформы по выпуску ЦФА дали «мягкое согласие» на интеграцию с 
Мосбиржей",https://www.vedomosti.ru/investments/articles/2024/08/07/1054267-vse-platformi-po-vipusku-tsfa-dali-myagkoe-soglasie-na-integratsiyu-s-mosbirzhei,2024-08-10 21:56:13.330026,Ведомости,google,,"Московская биржа активно занимает позиции на рынке цифровых финансовых активов (ЦФА). Площадка уже получила «мягкое согласие» всех отечественных платформ по выпуску таких инструментов на интеграцию с ней как оператором обмена для создания вторичного рынка ЦФА, говорится в презентации директора Мосбиржи по цифровым активам Сергея Харинова (есть у «Ведомостей»). «Большая цель» биржи – построить оператора обмена, который будет консолидировать ликвидность ЦФА и станет единой точкой входа за их дистрибуцией, сообщил Харинов, представляя презентацию в ходе вебинара на площадке Национальной финансовой ассоциации."
Силуанов допустил создание отечественных криптобирж,https://www.vedomosti.ru/finance/articles/2024/08/14/1055697-siluanov-dopustil-sozdanie-kriptobirzh,2024-08-17 21:56:01.513221,Ведомости,google,,"«Пока они [криптобиржи] находятся в серой зоне, и нужно ставить точку. И ЦБ, и правительство в лице Минфина пока не нашли решения, как это сделать», – объяснил министр. Но он пообещал подготовить законодательное решение осенью. Силуанов также напомнил, что в этом году были приняты и подписаны законы о майнинге и расчетах криптовалютой за импорт и экспорт."
"Экономист: криптовалюта и ЦФА не будут массово использоваться в расчетах с 
КНР",https://riamo.ru/news/ekonomika/ekonomist-kriptovaljuta-i-tsfa-ne-budut-massovo-ispolzovatsja-v-raschetah-s-knr/,2024-08-10 21:55:52.839888,РИАМО,google,,"Экономист: криптовалюта и ЦФА не будут массово использоваться в расчетах с КНР

Криптовалюты и цифровые финансовые активы (ЦФА) будут использоваться в торговле между Россией и Китаем лишь как запасной, страховочный вариант. Массовым средством платежа они в обозримой перспективе не станут, поскольку порядок внешнеторговых расчетов с использованием криптовалют еще не проработан в российском законодательстве, сообщил РИАМО экономист, доцент кафедры «Финансы и кредит» РУДН Лазарь Бадалов.

По его словам, это очень непростая задача, поскольку сначала нужно просчитать и адекватно оценить все риски, понять, как использование криптовалют во внешней торговле будет влиять на уплату налогов, движение капитала и другие процессы финансового рынка.

Ранее стало известно, что небольшие региональные китайские банки стали отказываться принимать платежи из РФ в июле. Сейчас прямые транзакции в юанях не проходят в 98% банков КНР.

«Российский бизнес не имеет привилегий в Китае. Региональные банки КНР отклоняют платежи из России не только из-за угрозы вторичных санкций, но и по причине отсутствия каких-либо документов, подтверждающих те или иные сделки, либо из-за допущенных ошибок. У нас привыкли сетовать на Китай, что, мол, он является нашим другом, но в то же время отказывается принимать платежи из РФ. На деле это не так. Китайские банки соблюдают в первую очередь свое законодательство», — прокомментировал Бадалов."
НАУФОР предложила регулировать стейблкоины как облигации в виде ЦФА,https://plusworld.ru/articles/60510/,2024-08-10 21:55:52.967652,PLUSworld.ru,google,,"В Национальной ассоциации участников фондового рынка (НАУФОР) считают, что среди традиционных активов такими же качествами как у стейблкоинов обладают структурные облигации. По мнению НАУФОР, криптовалюты можно причислить к цифровым финансовым активам (ЦФА) и использовать как эффективный финансовый инструмент.

При контроле этого рынка и его рисков следует руководствоваться общими подходами к регулированию рынка традиционных финансовых инструментов, уверены в ассоциации брокеров.

Стейблкоины в России могут быть использованы для хеджирования валютных рисков компаниями, ведущими внешнеэкономическую деятельность, для диверсификации рисков финансовыми институтами, а также для получения дохода от операций на денежном рынке, считают участники фондового рынка."
20 августа старт второго выпуска ЦФА,https://smart-lab.ru/blog/1050377.php,2024-08-17 21:55:21.862181,sMart-lab.ru,google,,"🛍Уважаемые инвесторы! Рады сообщить, что 20 августа стартует второй выпуск цифровых финансовых активов на платформе А-токен. Эмиссия объемом 70 млн ₽, со ставкой 22% годовых

Пользователи приложений Альфа-Мобайл, Альфа-Инвестиции и веб-приложения А-Токен получат доступ к нашему выпуску. Он будет анонсирован на главной странице. Успейте направить свою заявку на участие!

Амортизация выпуска:

 Предусмотрена с 9 купонного периода равными траншами от суммы выпуска

 🔹27 мая 2025 г. — 25%

 🔹27 июня 2025 г. — 25% 

 🔹28 июля 2025 г. — 25%

 🔹25 августа 2025 г. — 25%

⚡️Инвесторами могут выступать физические и юридические лица со статусом неквалифицированных и квалифицированных инвесторов.

Будем рады видеть вас в числе инвесторов нашего нового выпуска💚"
"Дебютный выпуск ЦФА Совкомбанка был выкуплен клиентами Sovcombank Wealth 
Management на размещении",https://www.finversia.ru/news/press-release/debyutnyi-vypusk-tsfa-sovkombanka-byl-vykuplen-klientami-sovcombank-wealth-management-na-razmeshchenii-144345,2024-08-24 21:55:21.348200,Finversia,google,,"Инвестиции в России в последние годы стали по-настоящему массовыми и, несмотря на санкции и структурную перестройку российской экономики, тренд на рост интереса к фондовому рынку со стороны частных инвесторов сохраняется. Насколько изменились портрет российского инвестора, а также подходы работы с ним со стороны профсообщества, рассказывает в интервью Finversia директор офиса инвестиционного банка «Синара» в Екатеринбурге, постоянный член международной ассоциации CFA Institute, финансист Игорь Горбунов."
Путин подписал закон о легализации майнинга криптовалют в России,https://www.interfax.ru/russia/975670,2024-08-10 21:56:04.884732,Интерфакс,google,,"Москва. 8 августа. INTERFAX.RU - Президент РФ Владимир Путин подписал закон о легализации в России с 1 ноября 2024 года деятельности по добыче криптовалют, документ размещен на портале официального опубликования нормативных актов.

В частности, под майнингом цифровой валюты предлагается понимать деятельность по проведению математических вычислений с помощью эксплуатации технических средств для внесения записей в информационную систему, использующую, в том числе технологию распределенного реестра для выпуска цифровой валюты, или получение лицом, осуществляющим такую деятельность, вознаграждения в цифровой валюте за подтверждение записей в информационной системе.

Требования к деятельности физических и юридических лиц, осуществляющих майнинг цифровой валюты, будут устанавливаться правительством РФ по согласованию с ЦБ. Правительство сможет запретить майнинг цифровой валюты в отдельных регионах РФ.

Юридическим лицам, индивидуальным предпринимателям запрещается совмещать осуществление майнинга цифровой валюты с деятельностью по передаче электрической энергии, деятельностью по оперативно-диспетчерскому управлению в электроэнергетике, деятельностью по производству или купле-продаже электрической энергии.

Юридические лица и ИП, которые будут осуществлять майнинговую деятельность, и операторы майнинговой инфраструктуры будут включены в специальный реестр, вести который будет Минцифры. Данная новелла не затронет граждан, не являющихся ИП и совершающих майнинговую деятельность, если потребляемая энергия при осуществлении такими лицами майнинговой деятельности не будет превышать лимитов, которые будут установлены правительством. Лица, добывающие цифровую валюту, должны будут предоставлять информацию о полученной валюте и адресах-идентификаторах в Росфинмониторинг.

В статье, которая запрещает использовать цифровые валюты в РФ для расчетов, уточняется, что эта норма не касается добытой российскими майнерами валюты.

Законом о майнинге вводится запрет на предложение криптовалют. ""В РФ запрещается предложение неограниченному кругу лиц цифровой валюты, а также товаров (работ, услуг) в целях организации обращения и (или) обращения цифровой валюты"", - гласит новая норма.

Вводится запрет на рекламу цифровой валюты, а также товаров (работ, услуг) в целях организации обращения цифровой валюты.

В подписанном законе о добыче криптовалют есть также часть, которая касается цифровых финансовых активов (ЦФА). Документ позволяет иностранным цифровым финансовым активам торговаться на российских блокчейн-площадках. ЦБ РФ будет вправе вводить запрет на размещение отдельных выпусков, если увидит угрозу финансовой стабильности. Речь идет о зарубежных ЦФА, которые подпадают под определение, прописанное для этого вида активов в российском законодательстве, то есть это могут быть права, включающие денежные требования, возможность осуществления прав по эмиссионным ценным бумагам, права участия в капитале непубличного акционерного общества, право требовать передачи эмиссионных ценных бумаг.

Регулятор вправе установить дополнительные требования к иностранным цифровым правам, которые могут быть размещены в российских системах. ЦБ будет также вправе определять требования к лицам, которые могут приобретать иностранные ЦФА, при этом в законе прямо прописывается запрет на их приобретение физлицами, гражданами РФ без разрешения регулятора. Закон также зеркально упрощает интеграцию российских ЦФА с зарубежными системами. В предмет регулирования российского законодательства вводится такое понятие, как ""иностранный номинальный держатель цифровых финансовых активов""; он ведет учет, включая переход прав, зачисленных ему ЦФА, принадлежащих иным лицам, в соответствии с юрисдикцией своего местонахождения или регистрации. Требования к иностранным номинальным держателям ЦФА установит ЦБ.

Российские операторы по выпуску ЦФА обязаны в своих правилах указать на возможность учета и обращения ЦФА в информационной системе, организованной не в соответствии с российским правом. Данный закон вступит в силу через 10 дней после официального опубликования."
